machine;maquina
machinery;maquinas
machines;maquinas
mad;louco
made;feito
magic;magia
magnet;ima
mail;e-mail
main;principal
mainly;principalmente
major;principais
make;fazer
makes;faz
making;fazer
mama;mamae
man;homem
Man;Homem
managed;gerenciados
manner;forma
man's;homem
manufacturing;fabricacao
many;muitos
map;mapa
maps;mapas
March;Marco
Maria;Maria
mark;marca
Mark;Mark
marked;marcada
market;mercado
marks;marcas
married;casado
Mars;Marte
Martin;Martin
Mary;Mary
mass;massa
master;mestre
match;correspondencia
material;material
materials;materiais
mathematics;matematica
matter;materia
may;maio
may;pode
maybe;talvez
me;me, mim
meal;refeicao
mean;media
meaning;significado
meanings;significados
means;meios
meant;significa, entende-se
measure;medida
measured;medida
measures;medidas
measuring;medicao
meat;carne
medicine;medicina
meet;atender
meeting;reuniao
melted;derretido
member;membro
members;membros
memory;memoria
men;homens
mental;mental
mentioned;mencionadas
merely;apenas
message;Mensagem
messages;mensagens
met;conheceu, encontrou
metal;metal
metals;metais
method;metodo
methods;metodos
Mexico;Mexico
mice;camundongos
middle;media
middle;media
might;pode
mighty;poderoso
Mike;Mike
mile;milha
miles;milha
military;militar
milk;leite
mill;moinho
million;milhoes
millions;milhoes
mind;mente
mine;mina
mineral;mineral
minerals;minerais
minute;minuto
minutes;minutos
mirror;espelho
miss;miss
miss;perder
missed;falhado
missing;em falta
mission;missao
Mississippi;Mississipi
mistake;erro
mixed;mistas
mixture;mistura
model;modelo
modern;moderna
molecules;moleculas
moment;momento
money;dinheiro
monkey;macaco
month;mes
months;mes
mood;humor
moon;lua
moon;Lua
more;mais
more;mais
morning;manha
most;mais
mostly;principalmente
mother;mae
mother;mae
mother's;mae
motion;movimento
motor;motor
Mount;Monte
mountain;montanha
Mountain;Montanha
mountains;montanhas
mountains;montanhas
mouse;mouse
mouth;boca
move;mover
moved;movido
movement;movimento, circulacao
movements;movimentos
moves;move-se
movie;filme
moving;em movimento
Mr.;Sr.
Mrs.;Sra.
much;muito
mud;lama
muscles;musculos
music;musica
musical;musical
must;deve
my;a minha
myself;eu mesmo
mysterious;misteriosa
