Pacific;Pacifico
pack;pack
package;pacote
packed;embalado
page;pagina
pages;paginas
paid;pagos
pain;dor
paint;pintura
painted;pintado
pair;par
pairs;pares
palace;palacio
pale;palido
pan;pan
Papa;Papai
paper;papel
papers;documentos
paragraph;paragrafo
parallel;paralelo
parents;pais
Paris;Paris
park;parque
part;parte
particles;particulas
particular;particular
particularly;particular
partly;parcialmente
parts;pecas
party;festa
pass;passar
passage;passagem
passed;passou
passengers;passageiros
passes;passa
passing;passando
past;passado
pasture;pastagem
path;caminho
pattern;padrao
patterns;padroes
Paul;Paulo
pay;pagar
peace;paz
pen;caneta
pencil;lapis
Pennsylvania;Pensilvania
people;pessoas
peoples;povos
per;por
percent;por cento
perfect;perfeito
perfectly;perfeitamente
perform;executar
performed;realizada
perhaps;talvez
period;periodo
periods;periodos
person;pessoa
personal;pessoal
persons;pessoas
pet;animais de estimacao
Peter;Pedro
Philadelphia;Filadelfia
phrase;frase
phrases;frases
physical;fisica
piano;piano
pick;escolher
picked;escolhido
picture;imagem
pictured;retratado
pictures;fotos
pie;torta
piece;pedaco
pieces;pecas
pigs;suinos
pile;pilha
pilot;piloto
pine;pinheiro
pink;rosa
pipe;tubulacao
pitch;passo
place;lugar
placed;colocado
places;lugares
plain;planicie
plains;planicies
plan;plano
plane;aviao
planes;avioes
planet;planeta
planets;planetas
planned;planejado
planning;planejamento
plans;planos
plant;planta
planted;plantadas
plants;plantas
plastic;plastico
plate;placa
plates;placas
play;jogar
played;jogado, desempenhado
player;jogador
players;jogadores
playing;jogando, brincando
plays;execucoes
pleasant;agradavel
please;por favor
pleased;prazer
pleasure;prazer
plenty;abundancia
plural;plural
plus;mais
pocket;bolso
poem;poema
poet;poeta
poetry;poesia
point;ponto
pointed;apontou
pointing;apontando
points;pontos
pole;polo
Pole;Polo
poles;polos
police;policia
policeman;policial
political;politica
pond;lagoa
pony;ponei
pool;piscina
poor;pobres
popular;populares
population;populacao
porch;alpendre
port;porto
position;posicao
positions;posicoes
positive;positiva
possible;possivel
possibly;possivelmente
post;post
pot;pote
potatoes;batata
pound;libra
pounds;libras
pour;derramar
poured;derramado
powder;po
power;poder
powerful;poderoso, potente
powers;poderes
practical;pratica
practice;pratica
precious;precioso
prepare;preparar
prepared;preparado
present;apresentar
presented;apresentado
presents;apresenta
president;presidente
president;presidente
press;imprensa
pressure;pressao
pretty;muito
prevent;evitar
previous;anterior
price;preco
pride;orgulho
prime;principal
primitive;primitiva
Prince;Principe
principal;principal
principle;principio
principles;principios
printed;impresso
private;privada
prize;premio
probably;provavelmente
problem;problema
problem;problema
process;processo
produce;produzir
produced;produzido
produces;produz
product;produto
production;producao
products;produtos
program;programa
progress;progresso
promised;prometeu
proper;adequada
properly;corretamente
properties;propriedades
property;propriedade
protect;proteger
protection;proteccao
proud;orgulhoso
prove;provar
proved;provado
provide;fornecer
provided;desde
public;publico
pull;puxe
pulled;puxado
pulling;puxando
pupils;alunos
pure;puro
purple;roxo
purpose;finalidade
push;empurre
pushed;empurrado
pushing;empurrando
put;colocar
puts;coloca
putting;colocacao
