wagon;vagao
wagons;vagoes
wait;esperar
waited;esperou
waiting;aguardando, a espera
walk;andar
walked;caminhou
walking;andar
walks;passeios
wall;parede
walls;paredes
want;quer
wanted;queria
wants;quer
war;guerra
war;guerra
warm;aquecer
warning;aviso
was;foi
wash;lavar
washed;lavado
washing;lavar
Washington;Washington
wasn't;nao foi
waste;residuos
watch;relogio
watched;assisti
watching;assistindo
water;agua
waters;aguas
wave;onda
waved;ondulado
waves;ondas
way;forma
ways;formas
we;nos
weak;fraco
wealth;riqueza
wear;desgaste
wearing;vestindo
weather;tempo
week;semana
weeks;semana
weight;peso
weight;peso
welcome;Bem-vindo
well;bem
we'll;vamos
went;foi
we're;estamos
were;foram
weren't;nao foram
west;oeste
West;West
western;ocidental
Western;Western
wet;molhado
we've;nos
whale;baleia
what;o que
whatever;qualquer que seja
what's;o que e
wheat;trigo
wheel;roda
wheels;rodas
Wheels;Rodas
when;quando
whenever;sempre
where;onde
wherever;onde
whether;se o, se a
which;que
while;enquanto
whispered;sussurrou
whistle;apito
white;branco
white;branco
who;que
whole;inteiro
whom;quem
whose;cuja
why;por que
wide;larga
widely;amplamente
wife;mulher
wild;selvagem
will;vai
William;William
willing;dispostos
Wilson;Wilson
win;vitoria
wind;vento
window;janela
windows;janelas
winds;ventos
wing;asa
wings;asas
winter;inverno
wire;fio
wires;fios
wise;sabio
wish;desejo
wished;desejava
wishes;desejos
with;com
within;dentro
without;sem
wolf;lobo
woman;mulher
women;mulheres
won;ganhou, venceu
wonder;maravilha
wondered;perguntou
wonderful;maravilhosa
won't;nao
wood;madeira
wooden;de madeira, de pau
woods;bosques, mata
wool;la
word;palavra
words;palavras
wore;usava
work;trabalho
worked;trabalhou
workers;trabalhadores
working;trabalho
works;obras
world;mundo
world;mundo
world's;mundo
worn;usado
worried;preocupado
worry;preocupar
worse;pior
worth;valor, merito
would;seria
wouldn't;nao seria, nao teria
wound;ferida
wrapped;embrulhado
write;escrever
writer;escritor
writers;escritores
writing;escrito
written;escrita
wrong;errado
wrote;escreveu
