cabin;cabine
cage;gaiola
cake;bolo
California;California
call;chamada
called;chamada
calling;chamada
calls;chamadas
calm;calma
came;veio
camera;camera
camp;acampamento
can;pode
Canada;Canada
canal;canal
candy;doces
cannot;nao pode
canoe;canoa
can't;nao pode
cap;PAC
capital;capital
captain;capitao
captain;capitao
captured;capturados
car;carro
carbon;de carbono
card;cartao
cards;cartoes
care;cuidado
careful;cuidado
carefully;cuidadosamente
Carlos;Carlos
carried;realizado
carries;carrega
carry;proceder
carrying;execucao
cars;carros
case;caso
cases;casos
Casey;Casey
cast;elenco
castle;castelo
cat;gato
catch;capturar, pegar
cats;gatos
cattle;gado
caught;capturados
cause;causa
caused;causado
causes;causas
cave;caverna
cell;celular
cells;celulas
cent;cento
center;centro
centers;centros
central;central
Central;Central
cents;centavos
centuries;seculos
century;seculo
certain;certos
certainly;certamente
chain;cadeia
chair;cadeira
chairs;cadeiras
chamber;camara
chance;chance
change;mudanca
changed;alterado
changes;mudancas
changing;mudanca
chapter;capitulo
character;carater
characteristics;caracteristicas
characters;caracteres
charge;carga
charged;carregada
Charles;Charles
chart;grafico
check;selecao
checked;verificados
cheese;queijo
chemical;quimica
chest;peito
Chicago;Chicago
chicken;frango
chickens;galinhas
chief;chefe
child;crianca
children;criancas
China;China
Chinese;Chines
choice;escolha
choose;escolha
chose;escolheu
chosen;escolhido
Christmas;Natal
church;igreja
circle;circulo
circles;circulos
circus;circo
cities;cidades
citizens;cidadaos
city;cidade
City;Cidade
class;classe
classes;classes
classroom;sala de aula
claws;garras
clay;argila
clean;limpa
clear;claro
cleared;apuradas
clearly;claramente
climate;climaticas
climb;subir
climbed;subiu
clock;relogio
close;fechar
closed;fechado
closely;intimamente
closer;mais proximo
cloth;pano
clothes;roupas
clothing;vestuario
cloud;nuvem
clouds;nuvens
club;clube
coach;treinador
coal;carvao
coast;costa
coat;casaco
coffee;cafe
cold;frio
collect;recolher
collected;coletados
collection;colecao
college;faculdade
colonies;colonias
colony;colonia
color;cor
colored;colorido
colors;cores
Columbus;Columbus
column;coluna
combination;combinacao
combine;combinar
combined;combinado
come;vem
comes;vem
comfortable;confortavel
coming;vindo
command;comando
common;comum
community;comunidade
companies;empresas
company;empresa
compare;comparar
compared;comparacao
compass;bussola
complete;completo
completed;concluida
completely;completamente
complex;complexo
complicated;complicado
composed;composto
composition;composicao
compound;compostos
compounds;compostos
concerned;em causa
condition;condicao
conditions;condicoes
Congress;Congresso
connected;conectado
consider;considerar
considered;considerados
consists;consiste
consonant;consoante
constant;constante
constantly;constantemente
construction;construcao
contain;contem
contained;contidos
containing;contendo
contains;contem
continent;continente
continue;continuar
continued;continuou
contrast;contraste
control;controle
conversation;conversa
cook;cozinheiro
cookies;biscoitos
cooking;cozinha
cool;fresco, legal
copper;cobre
copy;copia
corn;milho, trigo
corner;canto
corners;cantos
correct;correta
correctly;corretamente
cost;custo
cotton;algodao
could;poderia
couldn't;nao poderia
count;contagem
counted;contados
counting;contagem
countries;paises
country;pais
couple;Casal
courage;coragem
course;claro
court;tribunal
cover;capa
covered;coberto
covering;abrangendo
covers;cobre
cow;vaca
cowboy;vaqueiro
cowboys;cowboys
cows;vacas
crack;crack
cream;creme
create;criar
created;criado
creature;criatura
creatures;criaturas
crew;tripulacao
cried;chorou
crop;cultura
crops;culturas
cross;cruz
crossed;cruzado
crossing;passagem
crowd;multidao
crowded;lotado
cry;chorar
crying;chorando
cup;copa
curious;curioso
current;corrente
currents;correntes
curve;curva
curved;curvo
customs;aduaneiro
cut;corte
cutting;corte
