label;etiqueta
labor;trabalho
lack;falta
lady;senhora
laid;previsto
lake;lago
Lake;Lago
lakes;lagos
lamp;lampada
land;terra
landed;aterrado
landing;desembarque
lands;terras
language;linguagem
languages;linguas
large;grande
larger;maior
largest;maior
last;passado
late;final
later;mais tarde
latin;latina
laugh;rir
laughed;ria, riu
laughing;rindo
law;lei, legislacao
laws;leis
lay;leigos
layer;camada
layers;camadas
lead;conduzir
leader;lider
leader;lider
leading;lider
leaf;folha
learn;aprender
learned;aprendido
learning;aprendizagem, saber
least;pelo
leather;couro
leave;deixar
leaves;folhas
leaving;deixando
led;levou
Lee;Lee
left;esquerda
leg;perna
legs;pernas
length;comprimento
lengths;comprimentos
less;menos
lesson;licao
lessons;aulas
let;deixe
let's;vamos
letter;letra
letters;letras
level;nivel
library;biblioteca
lie;mentira
lies;mentiras
life;vida
lift;elevador
lifted;levantado
light;luz
lighted;iluminado
lights;luzes
like;como
liked;gostei
likely;provavel
likes;gosta
limited;limitado
Lincoln;Lincoln
line;linha, fila
lines;linhas
lion;leao
lips;labios
liquid;liquido
list;lista
listed;enumerados
listen;ouvir
listened;Ouvido
listening;Acesse
little;pouco
little;pouco
live;ao vivo
lived;viveu, morou
lives;vidas
living;vivendo, morando
load;carga
loaded;carregada
local;local
locate;localize
located;localizado
location;Local
log;log
logs;logs
London;Londres
lonely;solitario
long;tempo
longer;mais
look;olhar
look;olhar
looked;olhou
looking;procurando
loose;solto
lose;perder
loss;perda
lost;perdido
lot;muito
lots;lotes
loud;alto
Louis;Louis
love;amor
loved;amei
lovely;adoravel
low;baixa
lower;menor
lowest;menor
luck;sorte
lucky;sorte
lunch;almoco
lungs;pulmoes
lying;deitado
