nails;pregos
name;nome
named;nomeado
names;nomes
narrow;estreito, restrito
nation;nacao
national;nacional
National;Nacional
nations;nacoes
native;nativo
natural;natural
naturally;naturalmente
nature;natureza
near;perto
nearby;proxima
nearer;mais perto
nearest;mais proximo
nearly;quase
necessary;necessario
neck;pescoco
need;necessidade
needed;necessario
needle;agulha
needs;necessidades
negative;negativo
Negro;Negro
neighbor;vizinho
neighborhood;bairro
neighbors;vizinhos
neither;nem, nenhum
nervous;nervoso
nest;ninho
never;nunca
New York City;Cidade de Nova York
new;novo
new;novo
news;noticias
newspaper;jornal
newspapers;jornais
NewYork;NewYork
next;proxima
nice;bom
night;noite
nights;noites
nine;nove
no;nao
nobody;ninguem
nodded;assentiu com a cabeca
noise;ruido
none;nenhum, ninguem
nor;nem
normal;normal
North;Norte
north;norte
northern;norte
Norway;Noruega
nose;nariz
not;nao
noted;observou
notes;notas
nothing;nada
notice;advertencia
noticed;notado
noun;substantivo, nome
nouns;substantivos
now;agora
number;numero
numbers;numeros
numbers;numeros
numeral;numeral
numerals;numerais
nuts;porcas
